2017-12-25 01:55:56.2632 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 01:56:17.8401 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 01:59:06.5130 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:02:54.4090 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:03:07.7018 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:03:22.6658 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:04:07.0781 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:06:07.7642 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:06:21.9389 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:06:48.3807 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:16:42.2564 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:16:48.4600 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:17:02.3003 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:18:22.8750 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:27:26.2388 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:28:28.3762 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:30:08.9936 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 02:30:27.0372 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:30:28.0704 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 02:30:28.1216 | INFO | Users.Controllers.UsersController | Request GET with ID = 1
2017-12-25 02:30:28.2331 | INFO | Users.Controllers.UsersController | Success request GET with ID = 1
2017-12-25 02:30:28.4288 | INFO | Users.Controllers.UsersController | Request GET with ID = 0
2017-12-25 02:30:28.4288 | ERROR | Users.Controllers.UsersController | ERROR request GET with ID = 0. Not found ID
2017-12-25 02:30:28.4469 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 02:30:28.4719 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:30:29.4135 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:30:29.6668 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:30:29.6788 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 02:41:10.3742 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 03:12:29.8842 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 03:13:17.0697 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 03:14:22.5101 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-25 03:14:22.8510 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-25 03:17:01.3553 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 03:17:28.5055 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 18:39:01.6651 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 18:40:26.7021 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 6
2017-12-25 18:40:27.1265 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 6
2017-12-25 19:05:30.2725 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:06:30.2767 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 19:10:04.8121 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:10:42.6088 | INFO | Users.Controllers.UsersController | Request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 4
2017-12-25 19:10:42.6364 | INFO | Users.Controllers.UsersController | ABORTED request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 4. Bad ID and data.ID.
2017-12-25 19:11:04.1552 | INFO | Users.Controllers.UsersController | Request GET
